Дата,Adj Close,Date
2019-09-20,1377.38,20.09.2019
2019-09-19,1378.06,19.09.2019
2019-09-18,1382.16,18.09.2019
2019-09-17,1381.5,17.09.2019
2019-09-16,1396.09,16.09.2019
2019-09-13,1368.93,13.09.2019
2019-12-09,1361.05,12.09.2019
2019-11-09,1354.68,11.09.2019
2019-10-09,1343.95,10.09.2019
2019-09-09,1340.14,09.09.2019
2019-06-09,1340.52,06.09.2019
2019-05-09,1337.92,05.09.2019
2019-04-09,1330.77,04.09.2019
2019-03-09,1303.49,03.09.2019
2019-02-09,1309.22,02.09.2019
2019-08-30,1293.32,30.08.2019
2019-08-29,1284.94,29.08.2019
2019-08-28,1266.71,28.08.2019
2019-08-27,1258.6,27.08.2019
2019-08-26,1268.25,26.08.2019
2019-08-23,1268.45,23.08.2019
2019-08-22,1282.63,22.08.2019
2019-08-21,1280.19,21.08.2019
2019-08-20,1264.59,20.08.2019
2019-08-19,1247.53,19.08.2019
2019-08-16,1239.81,16.08.2019
2019-08-15,1250.13,15.08.2019
2019-08-14,1259.68,14.08.2019
2019-08-13,1297.85,13.08.2019
2019-12-08,1294.12,12.08.2019
2019-09-08,1289.47,09.08.2019
2019-08-08,1303.8,08.08.2019
2019-07-08,1284.91,07.08.2019
2019-06-08,1294.5,06.08.2019
2019-05-08,1282.29,05.08.2019
2019-02-08,1293.19,02.08.2019
2019-01-08,1346.4,01.08.2019
2019-07-31,1360.04,31.07.2019
2019-07-30,1352.89,30.07.2019
2019-07-29,1353.61,29.07.2019
2019-07-26,1348.3,26.07.2019
2019-07-25,1346.91,25.07.2019
2019-07-24,1339.62,24.07.2019
2019-07-23,1345.48,23.07.2019
2019-07-22,1341.17,22.07.2019
2019-07-19,1350.69,19.07.2019
2019-07-18,1349.76,18.07.2019
2019-07-17,1361.58,17.07.2019
2019-07-16,1382.09,16.07.2019
2019-07-15,1386.52,15.07.2019
2019-12-07,1387.87,12.07.2019
2019-11-07,1398.88,11.07.2019
2019-10-07,1407.64,10.07.2019
2019-09-07,1394.86,09.07.2019
2019-08-07,1399.55,08.07.2019
2019-05-07,1398.75,05.07.2019
2019-04-07,1411.53,04.07.2019
2019-03-07,1401.52,03.07.2019
2019-02-07,1398.26,02.07.2019
2019-01-07,1401.64,01.07.2019
2019-06-28,1380.52,28.06.2019
2019-06-27,1388.07,27.06.2019
2019-06-26,1386.63,26.06.2019
2019-06-25,1380.87,25.06.2019
2019-06-24,1387.06,24.06.2019
2019-06-21,1375.02,21.06.2019
2019-06-20,1391.21,20.06.2019
2019-06-19,1361.14,19.06.2019
2019-06-18,1359.23,18.06.2019
2019-06-17,1340.9,17.06.2019
2019-06-14,1341.05,14.06.2019
2019-06-13,1346.98,13.06.2019
2019-11-06,1343.33,11.06.2019
2019-10-06,1335.71,10.06.2019
2019-07-06,1325.95,07.06.2019
2019-06-06,1319.85,06.06.2019
2019-05-06,1303.35,05.06.2019
2019-04-06,1307.55,04.06.2019
2019-03-06,1315.22,03.06.2019
2019-05-31,1287.09,31.05.2019
2019-05-30,1286.52,30.05.2019
2019-05-29,1275.92,29.05.2019
2019-05-28,1271.15,28.05.2019
2019-05-27,1288.12,27.05.2019
2019-05-24,1279.11,24.05.2019
2019-05-23,1275.42,23.05.2019
2019-05-22,1292.79,22.05.2019
2019-05-21,1279.12,21.05.2019
2019-05-20,1256.22,20.05.2019
2019-05-17,1254.68,17.05.2019
2019-05-16,1261.33,16.05.2019
2019-05-15,1247.02,15.05.2019
2019-05-14,1241.51,14.05.2019
2019-05-13,1207.57,13.05.2019
2019-10-05,1213.79,10.05.2019
2019-08-05,1233.05,08.05.2019
2019-07-05,1237.86,07.05.2019
2019-06-05,1245.59,06.05.2019
2019-03-05,1248.39,03.05.2019
2019-02-05,1238.05,02.05.2019
2019-04-30,1248.39,30.04.2019
2019-04-29,1254.96,29.04.2019
2019-04-26,1247.01,26.04.2019
2019-04-25,1245.98,25.04.2019
2019-04-24,1263.97,24.04.2019
2019-04-23,1277.71,23.04.2019
2019-04-22,1275.59,22.04.2019
2019-04-19,1260.82,19.04.2019
2019-04-18,1262.28,18.04.2019
2019-04-17,1265.51,17.04.2019
2019-04-16,1255.45,16.04.2019
2019-04-15,1246.99,15.04.2019
2019-12-04,1253.44,12.04.2019
2019-11-04,1245.17,11.04.2019
2019-10-04,1262.48,10.04.2019
2019-09-04,1248.38,09.04.2019
2019-08-04,1240.16,08.04.2019
2019-05-04,1225.84,05.04.2019
2019-04-04,1219.94,04.04.2019
2019-03-04,1224.35,03.04.2019
2019-02-04,1216.2,02.04.2019
2019-01-04,1214.29,01.04.2019
2019-03-29,1198.11,29.03.2019
2019-03-28,1207.31,28.03.2019
2019-03-27,1207.23,27.03.2019
2019-03-26,1229.96,26.03.2019
2019-03-25,1228.34,25.03.2019
2019-03-22,1213.4,22.03.2019
2019-03-21,1237.68,21.03.2019
2019-03-20,1226.26,20.03.2019
2019-03-19,1219.78,19.03.2019
2019-03-18,1213.35,18.03.2019
2019-03-15,1196.75,15.03.2019
2019-03-14,1181.96,14.03.2019
2019-03-13,1189.14,13.03.2019
2019-12-03,1183.34,12.03.2019
2019-11-03,1176.71,11.03.2019
2019-07-03,1179.58,07.03.2019
2019-06-03,1191.51,06.03.2019
2019-05-03,1180.15,05.03.2019
2019-04-03,1185.83,04.03.2019
2019-01-03,1187.35,01.03.2019
2019-02-28,1188.28,28.02.2019
2019-02-27,1191.01,27.02.2019
2019-02-26,1193.07,26.02.2019
2019-02-25,1201.57,25.02.2019
2019-02-22,1198.4,22.02.2019
2019-02-21,1188.6,21.02.2019
2019-02-20,1194.4,20.02.2019
2019-02-19,1173.64,19.02.2019
2019-02-18,1177.04,18.02.2019
2019-02-15,1177.5,15.02.2019
2019-02-14,1156.31,14.02.2019
2019-02-13,1190.79,13.02.2019
2019-12-02,1215.47,12.02.2019
2019-11-02,1201.33,11.02.2019
2019-08-02,1199.65,08.02.2019
2019-07-02,1200.14,07.02.2019
2019-06-02,1215.83,06.02.2019
2019-05-02,1223.48,05.02.2019
2019-04-02,1211.15,04.02.2019
2019-01-02,1211.23,01.02.2019
2019-01-31,1214.45,31.01.2019
2019-01-30,1198.99,30.01.2019
2019-01-29,1191.38,29.01.2019
2019-01-28,1178.91,28.01.2019
2019-01-25,1192.02,25.01.2019
2019-01-24,1188.15,24.01.2019
2019-01-23,1186.51,23.01.2019
2019-01-22,1169.79,22.01.2019
2019-01-21,1171.09,21.01.2019
2019-01-18,1176.42,18.01.2019
2019-01-17,1157.06,17.01.2019
2019-01-16,1152.99,16.01.2019
2019-01-15,1148.03,15.01.2019
2019-01-14,1147.16,14.01.2019
2019-11-01,1148.75,11.01.2019
2019-10-01,1142.32,10.01.2019
2019-09-01,1135.51,09.01.2019
2019-08-01,1122.9,08.01.2019
2019-04-01,1118.03,04.01.2019
2019-03-01,1086.8,03.01.2019
2018-12-29,1068.72,29.12.2018
2018-12-28,1066.13,28.12.2018
2018-12-27,1056.61,27.12.2018
2018-12-26,1053.17,26.12.2018
2018-12-25,1048.71,25.12.2018
2018-12-24,1070.09,24.12.2018
2018-12-21,1077.17,21.12.2018
2018-12-20,1083.47,20.12.2018
2018-12-19,1099.63,19.12.2018
2018-12-18,1106.05,18.12.2018
2018-12-17,1113.44,17.12.2018
2018-12-14,1116.5,14.12.2018
2018-12-13,1129.35,13.12.2018
2018-12-12,1125.78,12.12.2018
2018-11-12,1134.71,11.12.2018
2018-10-12,1136.5,10.12.2018
2018-07-12,1157.94,07.12.2018
2018-06-12,1134.07,06.12.2018
2018-05-12,1153.0,05.12.2018
2018-04-12,1155.88,04.12.2018
2018-03-12,1154.18,03.12.2018
2018-11-30,1126.14,30.11.2018
2018-11-29,1141.3,29.11.2018
2018-11-28,1113.46,28.11.2018
2018-11-27,1098.59,27.11.2018
2018-11-26,1084.17,26.11.2018
2018-11-23,1113.52,23.11.2018
2018-11-22,1138.38,22.11.2018
2018-11-21,1127.42,21.11.2018
2018-11-20,1116.85,20.11.2018
2018-11-19,1135.71,19.11.2018
2018-11-16,1134.93,16.11.2018
2018-11-15,1131.13,15.11.2018
2018-11-14,1117.26,14.11.2018
2018-11-13,1100.05,13.11.2018
2018-12-11,1114.75,12.11.2018
2018-09-11,1121.38,09.11.2018
2018-08-11,1155.27,08.11.2018
2018-07-11,1164.27,07.11.2018
2018-06-11,1151.14,06.11.2018
2018-02-11,1134.8,02.11.2018
2018-01-11,1131.38,01.11.2018
2018-10-31,1126.21,31.10.2018
2018-10-30,1105.33,30.10.2018
2018-10-29,1112.61,29.10.2018
2018-10-26,1098.31,26.10.2018
2018-10-25,1120.69,25.10.2018
2018-10-24,1125.08,24.10.2018
2018-10-23,1106.82,23.10.2018
2018-10-22,1116.56,22.10.2018
2018-10-19,1126.97,19.10.2018
2018-10-18,1140.17,18.10.2018
2018-10-17,1162.79,17.10.2018
2018-10-16,1165.87,16.10.2018
2018-10-15,1146.72,15.10.2018
2018-12-10,1141.35,12.10.2018
2018-11-10,1124.08,11.10.2018
2018-10-10,1143.35,10.10.2018
2018-09-10,1159.47,09.10.2018
2018-08-10,1158.25,08.10.2018
2018-05-10,1159.33,05.10.2018
2018-04-10,1160.76,04.10.2018
2018-03-10,1196.03,03.10.2018
2018-02-10,1181.61,02.10.2018
2018-01-10,1191.28,01.10.2018
2018-09-28,1192.04,28.09.2018
2018-09-27,1187.88,27.09.2018
2018-09-26,1160.78,26.09.2018
2018-09-25,1169.04,25.09.2018
2018-09-24,1162.98,24.09.2018
2018-09-21,1149.53,21.09.2018
2018-09-20,1140.65,20.09.2018
2018-09-19,1134.1,19.09.2018
2018-09-18,1123.03,18.09.2018
2018-09-17,1099.5,17.09.2018
2018-09-14,1094.73,14.09.2018
2018-09-13,1084.54,13.09.2018
2018-12-09,1071.32,12.09.2018
2018-11-09,1055.9,11.09.2018
2018-10-09,1043.46,10.09.2018
2018-07-09,1050.51,07.09.2018
2018-06-09,1054.36,06.09.2018
2018-05-09,1068.88,05.09.2018
2018-04-09,1082.21,04.09.2018
2018-03-09,1085.19,03.09.2018
2018-08-31,1092.29,31.08.2018
2018-08-30,1075.55,30.08.2018
2018-08-29,1085.01,29.08.2018
2018-08-28,1078.28,28.08.2018
2018-08-27,1084.13,27.08.2018
2018-08-24,1064.46,24.08.2018
2018-08-23,1043.99,23.08.2018
2018-08-22,1065.34,22.08.2018
2018-08-21,1072.12,21.08.2018
2018-08-20,1065.34,20.08.2018
2018-08-17,1052.74,17.08.2018
2018-08-16,1066.51,16.08.2018
2018-08-15,1055.24,15.08.2018
2018-08-14,1081.5,14.08.2018
2018-08-13,1059.76,13.08.2018
2018-10-08,1056.93,10.08.2018
2018-09-08,1097.33,09.08.2018
2018-08-08,1113.78,08.08.2018
2018-07-08,1147.16,07.08.2018
2018-06-08,1138.57,06.08.2018
2018-03-08,1145.08,03.08.2018
2018-02-08,1140.96,02.08.2018
2018-01-08,1160.09,01.08.2018
2018-07-31,1173.06,31.07.2018
2018-07-30,1162.42,30.07.2018
2018-07-27,1151.74,27.07.2018
2018-07-26,1148.79,26.07.2018
2018-07-25,1141.7,25.07.2018
2018-07-24,1143.81,24.07.2018
2018-07-23,1129.92,23.07.2018
2018-07-20,1114.59,20.07.2018
2018-07-19,1124.43,19.07.2018
2018-07-18,1144.72,18.07.2018
2018-07-17,1165.14,17.07.2018
2018-07-16,1180.64,16.07.2018
2018-07-13,1189.35,13.07.2018
2018-12-07,1177.5,12.07.2018
2018-11-07,1186.36,11.07.2018
2018-10-07,1202.42,10.07.2018
2018-09-07,1193.17,09.07.2018
2018-06-07,1173.47,06.07.2018
2018-05-07,1171.64,05.07.2018
2018-04-07,1147.53,04.07.2018
2018-03-07,1147.47,03.07.2018
2018-02-07,1151.66,02.07.2018
2018-06-29,1154.16,29.06.2018
2018-06-28,1125.13,28.06.2018
2018-06-27,1124.84,27.06.2018
2018-06-26,1113.6,26.06.2018
2018-06-25,1120.23,25.06.2018
2018-06-22,1125.41,22.06.2018
2018-06-21,1110.79,21.06.2018
2018-06-20,1119.21,20.06.2018
2018-06-19,1096.92,19.06.2018
2018-06-18,1100.63,18.06.2018
2018-06-15,1117.04,15.06.2018
2018-06-14,1140.97,14.06.2018
2018-06-13,1147.57,13.06.2018
2018-11-06,1142.02,11.06.2018
2018-09-06,1149.19,09.06.2018
2018-08-06,1142.9,08.06.2018
2018-07-06,1171.22,07.06.2018
2018-06-06,1177.73,06.06.2018
2018-05-06,1172.77,05.06.2018
2018-04-06,1179.78,04.06.2018
2018-01-06,1164.37,01.06.2018
2018-05-31,1162.98,31.05.2018
2018-05-30,1162.96,30.05.2018
2018-05-29,1154.9,29.05.2018
2018-05-28,1167.21,28.05.2018
2018-05-25,1169.93,25.05.2018
2018-05-24,1173.63,24.05.2018
2018-05-23,1174.71,23.05.2018
2018-05-22,1202.04,22.05.2018
2018-05-21,1191.86,21.05.2018
2018-05-18,1173.14,18.05.2018
2018-05-17,1181.61,17.05.2018
2018-05-16,1189.77,16.05.2018
2018-05-15,1178.76,15.05.2018
2018-05-14,1202.56,14.05.2018
2018-11-05,1193.98,11.05.2018
2018-10-05,1179.63,10.05.2018
2018-08-05,1142.13,08.05.2018
2018-07-05,1153.85,07.05.2018
2018-04-05,1146.61,04.05.2018
2018-03-05,1128.22,03.05.2018
2018-02-05,1136.56,02.05.2018
2018-04-30,1153.96,30.04.2018
2018-04-28,1164.09,28.04.2018
2018-04-27,1167.12,27.04.2018
2018-04-26,1146.85,26.04.2018
2018-04-25,1137.62,25.04.2018
2018-04-24,1153.83,24.04.2018
2018-04-23,1144.66,23.04.2018
2018-04-20,1145.8,20.04.2018
2018-04-19,1153.59,19.04.2018
2018-04-18,1154.55,18.04.2018
2018-04-17,1121.48,17.04.2018
2018-04-16,1085.16,16.04.2018
2018-04-13,1104.51,13.04.2018
2018-12-04,1125.09,12.04.2018
